Attendance,Hours_Studied,Prev_GPA,Quiz_Avg,Midterm_Score,Assignment_Avg,Presentation_Marks,Internal_Marks,Final_Score,Total_Weighted,Grade,GPA_Points
79.6,11,2.72,78.97,71.74,81.36,89.39,100.0,59.56,71.21,B-,2.7
79.4,6,3.03,73.48,69.69,71.43,76.04,99.15,68.69,71.83,B-,2.7
95.2,15,1.95,98.0,62.88,100.0,68.42,85.99,55.98,70.53,B-,2.7
91.9,8,3.3,61.4,67.06,88.89,67.79,68.25,46.01,60.07,C,2.0
91.8,9,3.23,89.52,69.71,76.19,93.0,62.06,72.49,75.22,B,3.0
97.7,10,2.75,96.29,85.73,96.14,66.0,74.35,81.48,85.1,A-,3.7
82.3,9,3.6,91.68,71.56,96.16,95.41,91.47,89.7,86.48,A-,3.7
90.2,11,2.32,100.0,84.2,81.75,98.01,100.0,84.8,88.04,A,4.0
78.3,5,3.68,70.12,80.42,94.14,46.01,83.89,70.05,74.55,B,3.0
85.9,5,3.09,90.81,78.59,72.55,94.84,92.81,63.68,75.38,B,3.0
80.4,3,2.8,71.75,88.55,73.42,100.0,69.91,86.26,83.24,A-,3.7
83.2,9,2.99,97.08,53.67,60.46,81.12,87.3,74.01,72.05,B-,2.7
89.1,11,2.94,80.25,65.8,70.48,89.15,91.9,57.6,67.63,C+,2.3
72.2,9,3.73,74.62,100.0,100.0,97.11,52.73,85.14,87.74,A,4.0
100.0,14,2.35,100.0,70.08,100.0,74.24,75.41,78.33,81.34,B+,3.3
69.9,7,2.54,66.68,22.01,80.84,75.33,87.35,43.17,48.99,D,1.0
67.4,10,3.62,59.03,69.97,100.0,54.56,84.06,78.04,74.5,B,3.0
95.9,3,2.64,66.5,69.41,78.33,74.75,57.5,69.35,69.51,B-,2.7
91.5,6,3.54,88.8,30.64,82.59,86.48,45.49,51.88,56.59,C-,1.7
89.5,10,4.0,100.0,98.29,90.63,91.24,78.83,86.57,91.77,A,4.0
89.5,11,2.76,81.36,61.27,84.19,96.87,78.69,84.05,78.34,B+,3.3
81.9,6,3.41,97.8,76.29,81.45,62.08,65.66,82.07,81.1,B+,3.3
71.2,7,2.31,52.89,62.64,92.98,61.67,75.26,60.88,64.09,C+,2.3
82.9,1,3.45,68.14,47.18,82.59,100.0,81.88,39.53,55.18,C-,1.7
73.9,6,3.12,71.74,51.94,90.62,71.36,85.46,64.18,66.32,C+,2.3
93.7,11,3.28,80.47,60.23,100.0,83.79,49.21,76.24,74.27,B,3.0
80.2,10,2.61,78.72,87.83,88.12,74.25,59.06,48.9,68.8,B-,2.7
72.1,10,2.0,84.57,64.85,68.57,57.42,69.95,66.87,68.87,B-,2.7
78.1,8,3.3,71.94,63.26,68.38,100.0,86.62,62.35,67.71,C+,2.3
87.0,8,1.76,75.43,51.39,81.13,61.84,80.19,55.27,61.48,C,2.0
75.2,5,2.81,73.58,86.4,78.2,51.97,80.87,61.76,71.8,B-,2.7
72.1,10,3.56,66.56,96.88,87.5,70.34,75.08,79.67,82.09,A-,3.7
84.9,9,3.12,77.56,91.23,85.08,41.24,74.68,90.9,85.1,A-,3.7
84.9,9,4.0,80.64,83.67,100.0,69.07,72.59,74.93,80.07,B+,3.3
75.9,5,3.62,75.09,75.21,67.61,58.14,88.32,77.89,75.3,B,3.0
76.3,1,2.61,71.25,44.31,52.89,79.88,57.88,39.8,49.86,D,1.0
84.8,12,3.02,82.1,70.03,90.95,66.84,92.86,81.54,79.52,B+,3.3
64.6,6,2.97,68.06,56.6,76.02,88.52,77.45,60.69,64.53,C+,2.3
65.1,4,2.05,88.6,33.3,79.3,92.68,68.88,54.26,59.33,C,2.0
73.4,10,2.44,58.56,86.01,89.11,88.16,66.91,73.52,76.36,B,3.0
79.4,6,2.66,63.97,56.65,96.19,68.9,55.8,65.67,65.88,C+,2.3
85.7,12,1.78,100.0,88.23,64.0,76.63,67.02,51.65,71.3,B-,2.7
99.7,10,3.03,65.52,88.2,80.41,51.64,76.47,60.43,70.5,B-,2.7
92.3,10,2.85,59.32,81.54,90.78,75.22,46.46,75.47,74.63,B,3.0
80.1,2,2.0,80.43,72.22,84.66,51.92,66.65,41.41,61.08,C,2.0
81.8,12,3.24,50.38,64.69,100.0,92.04,94.48,64.56,68.88,B-,2.7
70.0,9,3.43,75.49,100.0,96.49,100.0,86.96,85.1,89.36,A,4.0
81.8,6,3.14,100.0,70.63,82.26,83.94,69.99,63.24,73.88,B,3.0
78.5,8,2.81,53.52,74.52,72.0,38.85,77.35,56.96,62.45,C,2.0
85.9,1,3.35,44.96,57.3,73.92,66.19,66.9,55.55,57.34,C-,1.7
72.1,9,3.41,56.66,57.25,78.04,79.35,81.23,72.6,67.69,C+,2.3
88.2,3,3.18,89.12,76.28,89.5,75.21,97.2,62.06,74.83,B,3.0
100.0,2,2.51,90.31,69.92,82.52,58.29,87.0,59.06,70.17,B-,2.7
80.7,1,3.17,65.76,53.82,63.57,75.87,80.74,46.94,56.28,C-,1.7
86.8,12,3.72,94.21,53.95,84.73,59.59,77.06,45.1,60.96,C,2.0
90.3,5,2.64,95.94,47.77,91.62,56.08,85.59,61.51,67.19,C+,2.3
77.2,14,4.0,100.0,97.66,95.74,95.14,61.9,100.0,96.84,A,4.0
84.7,5,2.68,70.99,57.88,87.51,54.41,71.16,69.45,67.93,B-,2.7
82.2,1,3.02,38.48,60.58,83.6,80.69,81.17,46.05,55.79,C-,1.7
83.2,3,2.6,60.51,89.03,98.34,46.17,83.19,57.22,70.52,B-,2.7
72.7,12,3.13,73.79,55.24,89.02,100.0,89.57,68.58,70.69,B-,2.7
82.3,7,1.95,69.05,54.3,74.3,56.99,77.06,64.63,63.91,C+,2.3
88.0,5,2.67,72.16,55.68,69.99,68.95,72.24,59.13,62.45,C,2.0
99.4,8,2.34,93.68,95.79,85.9,80.85,84.43,83.96,88.44,A,4.0
93.5,10,3.08,99.79,100.0,57.38,68.49,67.33,94.12,90.14,A,4.0
100.0,12,3.6,82.22,89.83,88.59,85.38,72.97,75.65,81.83,B+,3.3
72.8,13,3.39,98.42,87.47,85.47,90.3,82.8,82.98,87.02,A,4.0
92.5,6,1.58,77.13,55.48,61.4,87.06,74.19,72.76,68.75,B-,2.7
84.2,2,4.0,78.79,100.0,72.68,90.07,52.26,75.73,81.5,B+,3.3
100.0,6,3.18,92.52,76.2,94.64,73.83,85.29,61.56,74.97,B,3.0
72.3,9,2.53,76.73,82.3,84.42,71.01,86.47,67.13,75.25,B,3.0
71.9,4,3.09,100.0,65.66,81.57,100.0,73.27,59.43,72.01,B-,2.7
74.8,4,3.11,53.14,63.43,84.4,89.82,100.0,65.62,68.01,B-,2.7
56.5,9,2.6,66.62,93.96,81.46,55.76,64.79,66.04,74.07,B,3.0
75.7,7,3.12,75.05,78.59,97.86,76.75,71.89,75.67,78.39,B+,3.3
72.9,8,2.64,82.04,91.67,82.93,67.42,69.92,69.37,78.13,B+,3.3
83.8,4,2.76,93.24,71.31,62.72,69.78,73.15,44.59,63.07,C+,2.3
86.1,7,2.59,75.5,55.3,100.0,51.74,71.27,64.39,67.05,C+,2.3
100.0,4,2.14,52.03,57.03,83.8,63.95,53.66,54.71,58.21,C-,1.7
93.4,11,3.09,94.04,76.05,80.33,100.0,73.75,82.4,82.8,A-,3.7
75.1,12,3.35,92.63,64.29,72.27,89.73,79.94,65.97,72.06,B-,2.7
71.2,1,3.31,43.93,48.34,83.81,26.22,90.26,41.36,49.42,D,1.0
87.9,4,3.49,77.49,89.77,82.14,97.45,100.0,81.36,84.7,A-,3.7
66.2,2,3.19,48.93,57.06,97.67,90.39,91.48,73.69,69.94,B-,2.7
100.0,5,2.68,66.25,71.43,78.07,67.75,65.36,63.53,67.67,C+,2.3
96.2,7,3.5,66.98,78.26,76.47,91.43,70.78,75.35,75.51,B,3.0
76.4,2,2.19,81.94,53.39,86.55,52.33,67.57,52.06,61.11,C,2.0
61.4,4,2.46,72.53,86.99,87.88,60.32,95.76,55.98,71.61,B-,2.7
98.2,3,2.42,54.32,48.73,81.62,98.57,71.28,62.27,61.89,C,2.0
80.6,8,3.65,93.46,77.45,94.38,73.37,61.67,85.4,83.73,A-,3.7
96.9,8,3.57,60.06,78.51,87.12,45.91,74.55,77.18,74.24,B,3.0
62.9,5,3.29,79.9,67.08,83.76,71.81,85.55,65.22,71.09,B-,2.7
74.8,8,3.64,67.43,51.89,99.62,76.23,89.3,70.18,69.4,B-,2.7
82.1,5,2.47,68.1,80.52,87.09,93.16,70.79,78.19,78.53,B+,3.3
82.6,6,3.21,84.86,82.2,81.27,75.56,86.87,90.58,85.76,A-,3.7
76.6,14,2.92,88.96,63.33,100.0,71.55,49.32,82.41,78.18,B+,3.3
89.5,13,3.51,100.0,88.41,61.71,100.0,85.54,84.98,86.54,A-,3.7
69.2,2,2.93,70.81,71.04,100.0,72.21,84.09,52.59,67.23,C+,2.3
80.3,11,2.77,83.41,51.32,64.34,63.31,67.15,62.73,63.39,C+,2.3
83.4,11,3.32,74.75,60.66,79.79,100.0,69.61,71.05,71.26,B-,2.7
88.2,3,3.53,79.77,88.25,82.55,78.53,50.91,80.16,80.82,B+,3.3
90.5,11,2.6,85.74,77.1,83.39,77.2,100.0,89.19,85.01,A-,3.7
68.5,14,2.96,79.02,64.46,98.57,81.69,70.41,72.05,74.25,B,3.0
63.6,3,2.36,42.84,49.16,63.21,48.63,73.27,67.67,58.2,C-,1.7
97.3,4,1.5,75.5,55.28,79.66,59.03,78.98,37.46,55.0,C-,1.7
86.0,12,3.12,86.95,67.37,80.54,79.54,100.0,78.01,78.12,B+,3.3
73.0,9,3.37,68.88,58.54,88.62,73.58,76.93,57.33,64.29,C+,2.3
100.0,10,3.16,62.37,46.77,86.86,100.0,74.09,41.78,55.15,C-,1.7
83.4,9,1.83,96.1,85.2,81.08,75.87,76.38,73.52,80.84,B+,3.3
96.2,9,2.79,86.45,87.61,78.48,92.47,97.06,64.49,77.99,B+,3.3
82.8,2,1.67,64.92,40.99,68.24,66.53,65.98,43.64,50.89,D,1.0
100.0,12,3.82,68.62,80.86,95.13,100.0,72.31,79.66,80.5,B+,3.3
100.0,12,2.35,67.47,58.36,97.12,84.96,58.23,76.4,72.14,B-,2.7
79.0,7,3.75,99.34,68.61,78.62,78.04,62.7,56.8,69.67,B-,2.7
93.7,7,3.57,82.61,68.03,76.12,78.31,92.65,79.03,77.17,B,3.0
89.7,1,2.46,63.25,57.66,84.87,52.33,67.02,54.89,60.31,C,2.0
98.4,10,2.32,85.77,100.0,83.73,85.24,69.61,92.57,91.01,A,4.0
70.4,10,3.21,66.66,64.83,94.85,76.16,68.86,63.88,68.49,B-,2.7
90.2,7,2.49,98.39,55.95,71.01,64.84,77.07,49.49,62.74,C,2.0
94.7,12,3.06,100.0,62.91,66.76,100.0,78.76,60.25,70.44,B-,2.7
60.9,6,2.71,66.13,82.83,72.73,48.63,69.31,54.58,65.63,C+,2.3
67.8,10,1.93,64.07,40.07,70.3,63.9,92.39,57.58,57.51,C-,1.7
57.5,3,1.66,27.22,47.29,71.54,82.99,88.02,59.87,55.56,C-,1.7
78.8,7,3.14,55.12,93.49,75.7,81.02,54.8,67.47,72.99,B,3.0
90.6,7,2.66,56.51,73.5,91.49,73.74,81.19,72.96,72.93,B,3.0
100.0,8,2.67,80.31,74.35,80.82,80.8,67.4,54.72,68.01,B-,2.7
82.9,6,3.42,73.28,100.0,85.98,79.4,74.69,82.15,85.15,A-,3.7
100.0,7,3.7,61.52,78.64,89.59,52.4,86.03,77.75,75.87,B,3.0
65.4,11,2.84,73.38,59.27,85.94,69.31,74.62,51.37,62.17,C,2.0
61.6,6,2.8,81.14,62.05,79.27,100.0,76.79,63.22,69.74,B-,2.7
81.3,1,3.3,81.95,48.86,86.16,60.16,83.45,63.79,65.82,C+,2.3
86.6,14,2.19,50.72,92.31,75.67,71.49,83.34,46.48,64.59,C+,2.3
81.6,13,3.13,79.86,83.97,100.0,70.03,72.72,93.63,87.56,A,4.0
57.2,2,3.33,51.69,83.43,75.6,68.87,63.63,68.67,70.27,B-,2.7
80.9,10,3.41,94.26,93.14,70.99,68.23,60.57,88.13,86.21,A-,3.7
66.3,5,1.84,81.25,55.86,77.75,76.25,57.54,53.22,61.91,C,2.0
90.0,9,2.54,63.99,55.34,73.25,79.01,100.0,43.88,57.26,C-,1.7
86.4,9,2.47,65.33,68.99,90.8,88.74,65.73,72.47,72.84,B,3.0
70.7,7,3.06,69.29,55.25,100.0,55.29,59.5,60.31,64.07,C+,2.3
75.8,4,3.29,41.75,71.18,72.1,67.41,80.02,60.86,62.98,C+,2.3
69.3,5,3.9,83.07,89.14,88.02,71.97,76.48,88.72,86.46,A-,3.7
81.2,4,2.7,69.63,64.03,58.65,79.92,70.98,66.84,66.6,C+,2.3
93.5,4,2.7,89.5,70.35,86.4,58.67,94.68,86.83,82.05,A-,3.7
70.2,7,3.69,62.2,70.18,74.05,93.16,86.37,69.8,71.18,B-,2.7
88.0,5,3.18,67.73,82.86,75.52,96.38,69.6,63.94,72.3,B-,2.7
75.6,10,3.76,59.0,63.92,74.38,61.8,75.66,63.74,64.64,C+,2.3
72.5,13,3.17,65.97,38.89,95.82,70.19,73.99,64.07,62.04,C,2.0
80.7,5,2.31,55.08,73.34,90.9,61.24,85.06,73.69,72.48,B,3.0
69.6,8,2.2,88.3,82.17,79.64,100.0,69.05,59.36,73.95,B,3.0
75.4,9,2.07,63.65,74.26,69.75,64.38,49.02,63.91,66.32,C+,2.3
67.6,9,3.4,80.52,61.42,100.0,100.0,77.98,86.89,81.09,B+,3.3
100.0,8,3.71,76.73,57.28,79.44,57.64,60.92,61.17,64.17,C+,2.3
82.4,10,4.0,64.2,84.15,63.3,63.43,100.0,84.6,79.01,B+,3.3
73.6,9,3.51,77.18,74.96,91.2,65.34,66.18,77.71,77.1,B,3.0
84.6,3,3.7,86.35,68.35,70.1,60.14,75.09,75.12,73.86,B,3.0
80.7,11,2.65,60.25,100.0,96.23,71.55,81.98,73.12,80.58,B+,3.3
79.3,11,2.31,89.01,54.72,78.3,62.11,72.83,55.79,63.92,C+,2.3
89.4,4,3.51,65.03,99.18,91.02,61.03,73.72,77.25,81.29,B+,3.3
91.1,8,3.25,72.47,73.22,100.0,98.56,85.62,58.17,71.65,B-,2.7
75.6,10,3.06,86.76,42.43,70.29,98.83,100.0,59.41,64.36,C+,2.3
75.1,7,3.23,67.38,67.46,76.54,92.42,88.08,69.62,71.5,B-,2.7
78.7,12,3.19,81.59,89.38,86.12,88.46,100.0,100.0,92.62,A,4.0
54.4,17,3.77,79.7,71.58,100.0,84.09,69.77,84.48,81.34,B+,3.3
63.8,4,3.78,78.24,45.7,74.4,65.35,80.74,63.46,63.29,C+,2.3
98.4,2,3.33,40.85,66.93,75.43,57.4,78.73,68.72,64.7,C+,2.3
100.0,9,3.51,54.89,61.63,94.08,86.87,87.26,56.88,64.51,C+,2.3
79.0,10,3.31,89.38,81.01,79.21,57.01,99.41,75.68,79.67,B+,3.3
88.9,7,2.72,92.23,82.04,84.5,56.78,73.58,97.92,88.48,A,4.0
85.7,13,3.45,69.81,59.57,70.85,100.0,77.79,67.86,68.48,B-,2.7
100.0,2,2.16,68.38,53.75,100.0,100.0,79.52,68.8,70.19,B-,2.7
95.4,10,3.63,87.48,88.17,72.89,88.14,58.17,89.2,85.45,A-,3.7
80.5,5,2.28,83.07,51.93,74.81,90.59,69.35,43.38,58.27,C,2.0
70.5,14,3.17,51.11,57.22,87.14,75.1,79.65,68.54,65.84,C+,2.3
62.7,15,2.49,65.44,52.87,100.0,52.65,65.84,65.83,65.29,C+,2.3
84.4,4,3.33,71.57,75.19,66.66,85.58,91.36,70.95,73.43,B,3.0
72.9,5,2.98,85.26,72.66,100.0,82.96,59.84,62.65,73.15,B,3.0
64.9,11,2.04,100.0,56.41,89.44,73.64,72.45,55.99,67.75,B-,2.7
74.2,6,3.25,73.2,69.7,87.63,70.26,80.72,63.04,69.93,B-,2.7
69.0,7,2.65,53.3,91.83,68.58,89.72,93.35,71.64,75.62,B,3.0
100.0,8,3.53,87.75,59.14,94.57,61.98,81.57,80.13,76.63,B,3.0
92.6,1,3.0,93.77,35.73,71.28,58.03,87.07,69.16,65.05,C+,2.3
81.9,7,3.24,79.67,78.33,99.25,57.9,87.86,87.81,83.87,A-,3.7
99.8,5,2.43,61.6,66.43,69.55,74.73,76.93,68.78,67.9,B-,2.7
82.9,6,2.65,89.46,56.73,79.73,53.51,59.84,50.83,61.57,C,2.0
71.7,13,2.72,89.1,82.58,78.49,64.83,59.07,72.9,77.22,B,3.0
100.0,2,3.51,62.05,83.87,71.59,62.74,78.93,69.47,72.3,B-,2.7
88.5,11,4.0,90.27,42.22,99.45,77.86,76.95,60.04,65.8,C+,2.3
69.6,6,2.52,88.2,55.8,85.67,44.47,86.11,67.22,69.16,B-,2.7
79.7,6,3.65,96.5,100.0,99.28,78.34,89.21,93.61,95.22,A,4.0
71.5,11,1.7,72.65,75.98,58.29,94.1,71.07,73.24,73.28,B,3.0
65.4,9,2.28,68.59,77.78,92.73,74.4,57.75,79.98,77.61,B+,3.3
93.1,10,2.42,96.4,89.76,100.0,100.0,85.14,74.12,85.81,A-,3.7
100.0,11,2.19,60.31,71.73,79.04,100.0,64.21,76.91,73.86,B,3.0
65.2,6,2.05,77.5,76.67,99.66,82.92,60.3,62.09,72.75,B,3.0
88.8,5,3.25,56.83,81.87,80.22,76.72,63.67,58.78,67.55,C+,2.3
74.2,3,2.87,88.98,74.62,62.53,71.41,71.06,71.32,73.91,B,3.0
76.2,4,3.23,71.47,63.19,77.67,87.09,91.72,75.94,73.6,B,3.0
74.9,19,3.41,100.0,82.18,100.0,77.38,86.36,93.72,91.22,A,4.0
71.6,12,3.16,87.57,63.79,76.14,44.31,73.99,69.29,70.33,B-,2.7
82.6,2,3.39,56.87,68.43,74.02,82.08,53.86,63.18,65.11,C+,2.3
72.0,2,2.96,93.81,46.74,85.56,50.08,80.17,58.1,64.07,C+,2.3
85.2,9,2.29,99.25,56.33,82.02,56.66,65.05,52.92,64.43,C+,2.3
81.4,10,3.63,94.89,70.14,94.68,79.66,83.31,64.06,75.01,B,3.0
79.1,10,2.65,66.09,55.41,86.36,73.8,72.55,61.37,64.27,C+,2.3
71.1,6,2.44,68.48,57.99,84.83,45.65,84.8,59.87,63.72,C+,2.3
75.1,7,2.89,78.15,66.35,76.78,76.95,73.77,66.06,69.95,B-,2.7
91.1,9,2.45,66.65,76.65,85.99,92.6,76.39,77.34,77.14,B,3.0
88.0,8,2.75,100.0,85.59,72.27,55.09,84.2,74.15,80.25,B+,3.3
70.3,1,3.21,74.73,58.15,94.03,93.47,100.0,67.95,72.01,B-,2.7
83.2,7,3.21,37.51,92.42,76.45,47.98,90.5,68.99,70.9,B-,2.7
91.0,4,2.46,78.83,81.76,93.29,100.0,72.5,89.86,86.16,A-,3.7
62.0,8,2.71,69.42,75.71,77.84,65.24,74.68,69.06,71.74,B-,2.7
88.5,19,3.64,87.59,84.17,97.13,89.33,81.36,100.0,92.43,A,4.0
74.0,9,3.3,73.37,77.01,78.96,42.84,65.6,73.65,73.03,B,3.0
88.8,6,4.0,93.19,93.07,74.89,77.96,73.34,78.62,83.75,A-,3.7
72.8,11,3.71,98.62,94.4,66.88,83.93,71.01,75.52,83.03,A-,3.7
60.3,9,3.69,83.34,93.45,72.43,75.54,88.24,66.86,78.04,B+,3.3
62.5,9,2.17,68.14,66.89,75.34,61.09,58.23,52.74,61.54,C,2.0
82.6,10,3.46,80.48,82.98,89.64,62.06,99.76,69.67,77.74,B+,3.3
85.1,16,2.97,83.88,98.09,100.0,100.0,94.12,94.9,94.77,A,4.0
71.1,3,2.67,59.85,54.91,72.54,70.44,72.18,48.99,56.69,C-,1.7
89.7,9,3.1,88.35,67.58,75.09,100.0,79.67,73.14,75.9,B,3.0
62.1,4,3.57,82.19,68.55,63.98,63.81,67.49,77.45,73.41,B,3.0
81.2,10,3.3,100.0,87.71,92.08,70.49,84.1,81.9,86.62,A-,3.7
67.5,4,2.47,90.26,79.07,94.03,84.11,86.66,93.08,88.48,A,4.0
74.2,6,3.45,67.13,66.73,98.62,46.21,67.58,53.68,63.77,C+,2.3
82.6,6,2.62,87.24,43.8,89.46,51.1,53.47,54.33,59.94,C,2.0
71.7,11,3.13,65.13,76.33,93.05,97.14,89.24,69.61,75.32,B,3.0
77.4,11,2.82,89.16,57.03,100.0,55.63,83.26,77.79,75.69,B,3.0
94.1,3,2.87,67.24,44.15,84.97,40.25,59.31,28.25,45.9,F,0.0
75.1,8,3.46,63.6,51.73,92.7,100.0,68.68,48.15,59.44,C,2.0
92.0,5,2.38,78.42,72.44,76.37,47.13,62.19,62.47,67.96,B-,2.7
68.4,2,4.0,36.12,91.02,65.9,77.55,66.1,82.61,74.99,B,3.0
88.4,7,1.91,47.12,67.0,71.17,72.62,68.85,60.34,62.15,C,2.0
99.3,6,2.64,74.03,73.07,82.58,24.1,72.96,51.03,62.89,C,2.0
52.3,17,3.22,83.25,93.94,88.74,75.2,72.9,75.17,82.32,A-,3.7
72.4,9,3.35,73.4,47.23,100.0,85.01,68.33,79.42,72.25,B-,2.7
88.9,2,2.94,50.36,75.37,81.03,78.43,70.85,55.91,64.33,C+,2.3
79.6,5,2.97,63.07,68.15,95.49,89.6,77.69,56.38,66.96,C+,2.3
86.5,12,3.25,87.92,84.11,82.83,73.08,77.62,94.55,87.85,A,4.0
74.8,16,2.86,90.85,67.38,84.38,92.95,98.34,87.84,83.61,A-,3.7
83.0,1,3.84,76.12,56.27,66.41,61.95,83.47,70.93,67.77,B-,2.7
80.1,1,3.5,92.06,69.96,71.8,47.32,52.44,53.96,65.05,C+,2.3
96.0,15,3.52,92.14,100.0,98.5,60.82,93.51,76.19,86.86,A,4.0
85.1,9,2.42,65.28,83.26,82.58,48.17,84.97,72.14,74.38,B,3.0
86.1,4,2.95,71.0,60.09,92.53,91.38,69.12,65.69,69.23,B-,2.7
77.1,10,2.82,56.95,49.53,86.17,48.73,57.06,60.46,59.01,C,2.0
76.1,1,2.4,68.29,36.0,71.68,72.84,70.02,60.49,57.75,C-,1.7
76.8,8,3.22,94.84,92.22,100.0,71.37,78.05,65.3,80.87,B+,3.3
86.7,9,2.68,87.97,55.41,82.56,73.84,61.99,72.45,71.08,B-,2.7
76.9,11,3.39,100.0,68.74,100.0,100.0,60.63,66.29,76.73,B,3.0
85.5,3,2.36,67.55,86.23,73.28,62.2,70.86,75.31,75.79,B,3.0
100.0,8,4.0,100.0,50.78,98.12,92.61,80.34,65.02,72.16,B-,2.7
92.5,4,2.46,70.99,90.77,91.03,72.57,68.05,64.1,75.11,B,3.0
78.1,9,3.13,100.0,67.57,87.13,73.89,77.46,66.79,74.89,B,3.0
96.4,4,3.48,78.03,52.98,56.11,100.0,62.92,43.9,56.27,C-,1.7
77.1,6,2.66,85.16,63.59,80.77,46.61,68.46,63.6,67.94,B-,2.7
57.5,4,3.51,96.72,56.03,95.36,95.79,82.06,59.4,70.7,B-,2.7
69.9,10,2.26,72.13,75.08,87.36,84.85,70.13,78.35,77.41,B+,3.3
59.6,11,3.87,84.42,63.77,92.49,70.51,57.73,78.16,75.53,B,3.0
77.8,7,3.01,96.05,39.13,62.05,100.0,70.1,74.43,68.67,B-,2.7
82.2,8,2.64,74.38,65.85,73.73,41.11,61.4,66.26,66.62,C+,2.3
100.0,2,2.82,54.87,45.98,85.62,63.29,78.42,56.02,57.78,C-,1.7
85.9,6,3.49,100.0,75.02,89.67,55.0,83.21,88.11,84.88,A-,3.7
79.4,7,2.65,68.39,49.45,96.02,80.86,52.22,51.89,59.63,C,2.0
92.0,18,2.55,86.38,69.19,88.26,61.96,94.63,62.28,71.82,B-,2.7
55.5,3,2.87,88.47,67.05,82.0,76.93,55.56,66.34,71.39,B-,2.7
84.8,13,2.29,69.61,68.34,84.94,73.38,100.0,56.19,67.17,C+,2.3
91.3,11,4.0,69.71,81.84,78.99,74.2,84.15,100.0,86.73,A,4.0
64.3,9,2.66,79.18,79.25,54.3,80.37,57.92,83.88,77.59,B+,3.3
95.7,15,3.5,59.17,60.54,97.24,79.23,70.08,91.92,77.97,B+,3.3
86.1,9,3.13,75.11,71.4,87.52,57.83,84.3,70.88,73.33,B,3.0
77.0,9,2.41,79.32,15.37,74.22,100.0,70.16,52.26,52.57,D+,1.3
89.6,7,3.0,73.81,74.82,64.43,67.09,76.51,62.78,68.51,B-,2.7
100.0,12,3.47,61.13,72.47,97.84,42.36,100.0,81.56,76.81,B,3.0
84.2,12,2.89,100.0,57.64,83.19,63.22,70.59,57.14,67.28,C+,2.3
85.0,5,3.72,80.43,76.93,91.56,54.07,79.72,46.3,65.66,C+,2.3
76.5,2,3.61,96.96,87.25,100.0,88.36,95.37,71.25,84.04,A-,3.7
71.8,7,3.55,74.38,63.66,58.58,82.07,82.07,50.26,61.24,C,2.0
92.0,4,2.72,61.68,52.76,72.48,80.06,52.39,68.81,63.84,C+,2.3
71.7,7,2.35,77.51,69.11,76.96,64.81,80.55,83.52,77.27,B+,3.3
82.9,12,2.63,75.97,50.84,100.0,72.18,62.93,50.03,60.87,C,2.0
76.3,6,3.12,58.64,58.74,62.67,67.63,96.01,71.96,66.72,C+,2.3
87.7,7,3.33,100.0,91.55,100.0,75.53,67.47,91.86,91.78,A,4.0
86.0,8,1.7,63.67,66.99,80.63,86.04,100.0,48.26,62.97,C+,2.3
94.5,11,3.0,53.55,44.08,86.0,85.2,100.0,55.37,59.06,C,2.0
75.9,1,3.09,92.57,36.9,76.27,79.65,61.5,46.0,56.2,C-,1.7
78.8,5,2.83,67.14,70.29,75.46,81.69,74.98,71.87,71.77,B-,2.7
70.3,8,3.77,70.59,86.51,98.29,93.63,90.26,67.35,78.18,B+,3.3
76.7,12,3.25,54.59,48.19,74.25,84.26,92.04,59.84,60.41,C,2.0
86.5,6,3.79,100.0,80.21,90.15,84.47,86.2,71.75,81.3,B+,3.3
91.1,1,2.87,53.95,87.58,74.68,92.69,90.82,72.42,75.6,B,3.0
70.9,10,3.56,81.21,100.0,77.18,66.36,78.61,81.38,84.7,A-,3.7
92.4,5,3.98,94.35,78.96,100.0,63.26,75.53,71.02,79.24,B+,3.3
98.3,3,3.79,85.42,80.2,90.12,55.74,74.23,69.99,76.37,B,3.0
87.0,5,2.34,72.67,32.43,86.92,74.85,85.58,70.55,63.94,C+,2.3
100.0,7,2.85,52.78,100.0,97.95,42.93,83.41,72.23,77.92,B+,3.3
72.7,5,2.79,61.78,57.72,62.87,80.25,78.01,46.87,56.65,C-,1.7
67.1,1,3.29,75.39,50.63,99.6,68.6,83.7,63.95,67.12,C+,2.3
60.7,11,3.41,67.6,68.33,55.3,97.83,50.7,65.77,66.49,C+,2.3
100.0,13,2.5,84.15,98.29,77.87,67.01,85.44,69.19,80.28,B+,3.3
89.9,10,3.04,90.38,100.0,80.64,74.49,83.21,100.0,94.51,A,4.0
81.3,3,1.79,83.83,64.4,82.37,87.59,92.75,58.79,69.44,B-,2.7
85.4,7,3.87,62.53,89.89,89.54,100.0,59.52,73.41,78.15,B+,3.3
68.5,7,2.69,100.0,68.2,78.51,60.27,96.31,71.53,76.34,B,3.0
100.0,10,3.03,92.63,57.52,86.98,82.39,82.18,86.2,79.68,B+,3.3
83.6,10,2.81,78.57,95.23,72.86,81.9,85.45,63.26,76.55,B,3.0
83.3,5,3.69,94.93,61.64,66.62,83.32,100.0,70.46,73.66,B,3.0
90.7,8,1.5,100.0,90.24,87.39,65.94,80.52,97.78,92.73,A,4.0
87.8,9,2.99,57.46,92.82,93.36,100.0,84.65,79.83,82.32,A-,3.7
84.7,13,2.94,77.95,84.15,100.0,45.32,84.72,66.6,75.87,B,3.0
